keyword,#Results,Link
"""The Diary of a Young Girl"" ""Anne Frank""",1933,https://www.coursehero.com/search/results/1215527860/616046232ce061659e/
"""Scratch Beginnings"" ""Adam Shepard""",32,https://www.coursehero.com/search/results/1215527961/bcd86ebccdd27d267b/
"""Hatchet"" ""Gary Paulsen""",569,https://www.coursehero.com/search/results/1215528047/65b5948679976b8d07/
"""Red Queen"" ""Victoria Aveyard""",176,https://www.coursehero.com/search/results/1215528172/f29a39121861771da9/
"""The Custom of the Country"" ""Edith Wharton""",162,https://www.coursehero.com/search/results/1215528254/9558855982ddbe6cf0/
"""Rules"" ""Cynthia Lord""",115,https://www.coursehero.com/search/results/1215528389/739a4a9af57118f804/
"""Wild Swans"" ""Jung Chang""",359,https://www.coursehero.com/search/results/1215528506/a3e7344bf37c3d9d76/
"""American Born Chinese"" ""Gene Luen Yang""",535,https://www.coursehero.com/search/results/1215528590/d3ff6f82eccd8c914e/
"""Tangerine"" ""Edward Bloor""",130,https://www.coursehero.com/search/results/1215528696/67fbc68242f8212e3b/
"""Touching Spirit Bear"" ""Ben Mikaelsen""",90,https://www.coursehero.com/search/results/1215528800/b8bc40d7977f328dcc/
"""Caleb Williams"" ""William Godwin""",361,https://www.coursehero.com/search/results/1215528891/443b3f55ec0f35c580/
"""Tropic of Orange"" ""Karen Tei Yamashita""",94,https://www.coursehero.com/search/results/1215528962/a8f63eefda5b95f234/
"""Esperanza Rising"" ""Pam Muñoz Ryan""",301,https://www.coursehero.com/search/results/1215529067/c09ab039dc4d54b0a6/
"""Number the Stars"" ""Lois Lowry""",478,https://www.coursehero.com/search/results/1215529144/cc1ad5fbb11d44aa2b/
"""Roll of Thunder, Hear My Cry"" ""Mildred D. Taylor""",312,https://www.coursehero.com/search/results/1215529228/971543f472987cf65b/
"""The Boy in the Striped Pajamas"" ""John Boyne""",729,https://www.coursehero.com/search/results/1215529321/68ca0c29126b2100a1/
"""The Hunger Games"" ""Suzanne Collins""",4117,https://www.coursehero.com/search/results/1215529425/35ec339af229f1582e/
"""An Unquiet Mind"" ""Kay Redfield Jamison""",343,https://www.coursehero.com/search/results/1215529531/8943953f1637d2e0cf/
"""Dreams from My Father"" ""Barack Obama""",1098,https://www.coursehero.com/search/results/1215529631/02d712b58f46856d5c/
"""Falling Man"" ""Don DeLillo""",134,https://www.coursehero.com/search/results/1215529711/8cab13d8b1d37a9cc0/
"""The Wednesday Wars"" ""Gary D. Schmidt""",43,https://www.coursehero.com/search/results/1215529843/9928cc6d3fcf58ce4d/
"""Bad Boy"" ""Walter Dean Myers""",109,https://www.coursehero.com/search/results/1215529932/82cb593d1655186bba/
"""The Worst Hard Time"" ""Timothy Egan""",126,https://www.coursehero.com/search/results/1215530020/ad08984c9f5bc76bce/
"""If I Die in a Combat Zone"" ""Tim O'Brien""",355,https://www.coursehero.com/search/results/1215530121/fe7863c98db1e6bcfb/
"""The Return of Martin Guerre"" ""Natalie Zemon Davis""",207,https://www.coursehero.com/search/results/1215530205/aacb392e9e560063cc/
"""Inside Out And Back Again"" ""Thanhha Lai""",138,https://www.coursehero.com/search/results/1215530300/cc763f47a2e1cb887b/
"""The Overstory"" ""Richard Powers""",,https://www.coursehero.com/search/results/?stx=%22The%20Overstory%22%20%22Richard%20Powers%22&filters_product=all&searchTrigger=homepage
"""This Changes Everything"" ""Naomi Klein""",1255,https://www.coursehero.com/search/results/1215530522/058f69f7ae5fc4a191/
"""The Sixth Extinction"" ""Elizabeth Kolbert""",716,https://www.coursehero.com/search/results/1215530642/5dd96866a7b054c80e/
"""Sag Harbor"" ""Colson Whitehead""",39,https://www.coursehero.com/search/results/1215530743/5c1e6cf094db0d12d2/
"""The Water Dancer"" ""Ta-Nehisi Coates""",66,https://www.coursehero.com/search/results/1215530845/b60a00a562447b886f/
"""The Gay Science"" ""Friedrich Nietzsche""",1425,https://www.coursehero.com/search/results/1215530946/26ea9052571a5fbfcd/
"""Dear Martin"" ""Nic Stone""",243,https://www.coursehero.com/search/results/1215531038/44edbef320128e0e4c/
"""Endurance"" ""Alfred Lansing""",107,https://www.coursehero.com/search/results/1215531123/394a5a3e12d60376b7/
"""Pax"" ""Sara Pennypacker""",22,https://www.coursehero.com/search/results/1215531224/5089fe7003c253ebc1/
"""The House Behind the Cedars"" ""Charles W. Chesnutt""",52,https://www.coursehero.com/search/results/1215531303/b4d16c6b644a218a30/
"""Scythe"" ""Neal Shusterman""",120,https://www.coursehero.com/search/results/1215531401/1664da68daf65bdd1c/
"""The Dutch House"" ""Ann Patchett""",16,https://www.coursehero.com/search/results/1215531500/88720a3317e8802a93/
"""The Secret History"" ""Donna Tartt""",181,https://www.coursehero.com/search/results/1215531575/11f54bc08fb09304ae/
"""Fish in a Tree"" ""Lynda Mullaly Hunt""",38,https://www.coursehero.com/search/results/1215531676/760c918ce52426f965/
"""A Tale For The Time Being"" ""Ruth Ozeki""",69,https://www.coursehero.com/search/results/1215531754/f6b58705ca91862c10/
"""Before We Were Free"" ""Julia Alvarez""",87,https://www.coursehero.com/search/results/1215531825/4a3aa41583584490c3/
"""Mississippi Trial, 1955"" ""Chris Crowe""",16,https://www.coursehero.com/search/results/1215531929/ef2799dce5f2771b8d/
"""Neverwhere"" ""Neil Gaiman""",206,https://www.coursehero.com/search/results/1215532033/9a41bbafd47e58f297/
"""The Crossover"" ""Kwame Alexander""",170,https://www.coursehero.com/search/results/1215532123/7e362a04c2022f1e24/
"""Refugee"" ""Alan Gratz""",153,https://www.coursehero.com/search/results/1215532205/ebfde26e7230dedbb9/
"""The Underdogs"" ""Mariano Azuela""",197,https://www.coursehero.com/search/results/1215532284/bbe788f5c2836cf507/
"""The Water Knife"" ""Paolo Bacigalupi""",,https://www.coursehero.com/search/results/?stx=%22The%20Water%20Knife%22%20%22Paolo%20Bacigalupi%22&filters_product=all&searchTrigger=homepage
"""Ghost"" ""Jason Reynolds""",210,https://www.coursehero.com/search/results/1215533112/c043dcb68cf62f2bcc/
"""Edgar Huntly"" ""Charles Brockden Brown""",139,https://www.coursehero.com/search/results/1215533196/427071eb0b6fbf2b31/
"""Where the Red Fern Grows"" ""Wilson Rawls""",199,https://www.coursehero.com/search/results/1215533276/3fb33ba7276e26acb9/
"""Germinal"" ""Émile Zola""",927,https://www.coursehero.com/search/results/1215533350/22e62c72228fb6394c/
"""Rules of Civility"" ""Amor Towles""",18,https://www.coursehero.com/search/results/1215533433/5163fb30d2be3d4a86/
"""The One And Only Ivan"" ""Katherine Applegate""",115,https://www.coursehero.com/search/results/1215533502/3a2b10235835857fec/
"""The Marrow Thieves"" ""Cherie Dimaline""",353,https://www.coursehero.com/search/results/1215533608/fea2b0b25ebb8b809c/
"""The Gangster We Are All Looking For"" ""Le Thi Diem Thuy""",84,https://www.coursehero.com/search/results/1215533684/d4cd648e6779df1be1/
"""The Poet X"" ""Elizabeth Acevedo""",178,https://www.coursehero.com/search/results/1215533768/26f2c735a18e62cb4a/
"""Fever 1793"" ""Laurie Halse Anderson""",127,https://www.coursehero.com/search/results/1215533837/4590997ba0d123de8a/
"""Rifles for Watie"" ""Harold Keith""",18,https://www.coursehero.com/search/results/1215533912/eb06ef5364234dacec/
"""Waterlily"" ""Ella Cara Deloria""",229,https://www.coursehero.com/search/results/1215534016/a3fb176bebdb1c949a/
"""Washington Black"" ""Esi Edugyan""",58,https://www.coursehero.com/search/results/1215534099/fa03204fa841818e36/
"""Small Great Things"" ""Jodi Picoult""",89,https://www.coursehero.com/search/results/1215534177/b3a4897840d1a2d921/
"""Christ in Concrete"" ""Pietro Di Donato""",58,https://www.coursehero.com/search/results/1215534242/5d1ff1558e98e5886a/
"""The Westing Game"" ""Ellen Raskin""",95,https://www.coursehero.com/search/results/1215534317/7366b6d30f36a3e2bc/
"""Gates of Fire"" ""Steven Pressfield""",123,https://www.coursehero.com/search/results/1215534406/a30b3c78c3b8a473f5/
"""The Unteachables"" ""Gordon Korman""",2,https://www.coursehero.com/search/results/1215534472/b01e67230c85314336/
