keyword,#Results,Link
"""American Indian Stories"" ""Zitkála-Šá""",254.0,https://www.coursehero.com/search/results/1216636790/1eaa48df8137e7c13a/
"""The Diary of a Young Girl"" ""Anne Frank""",1936.0,https://www.coursehero.com/search/results/1216636964/7f6c29403a0fb0d4e8/
"""Scratch Beginnings"" ""Adam Shepard""",32.0,https://www.coursehero.com/search/results/1216637082/49e0b710b8cab64c03/
"""Hatchet"" ""Gary Paulsen""",570.0,https://www.coursehero.com/search/results/1216637201/bf1041f8871b866e94/
"""Red Queen"" ""Victoria Aveyard""",176.0,https://www.coursehero.com/search/results/1216637333/09525095c261b82919/
"""The Custom of the Country"" ""Edith Wharton""",163.0,https://www.coursehero.com/search/results/1216637454/16f3fa9a2eb048d497/
"""Rules"" ""Cynthia Lord""",115.0,https://www.coursehero.com/search/results/1216637593/1a3137b12af4cba1fe/
"""Wild Swans"" ""Jung Chang""",359.0,https://www.coursehero.com/search/results/1216637730/e6ca996abfd9f48943/
"""American Born Chinese"" ""Gene Luen Yang""",537.0,https://www.coursehero.com/search/results/1216637858/a1be8d07433c74953b/
"""Tangerine"" ""Edward Bloor""",130.0,https://www.coursehero.com/search/results/1216638024/b3285750efbff82ffe/
"""Touching Spirit Bear"" ""Ben Mikaelsen""",90.0,https://www.coursehero.com/search/results/1216638129/70e39a5ff00ab6799c/
"""Caleb Williams"" ""William Godwin""",361.0,https://www.coursehero.com/search/results/1216638295/0446a99e7ebd7aad74/
"""Tropic of Orange"" ""Karen Tei Yamashita""",94.0,https://www.coursehero.com/search/results/1216638467/1d8a98d72c2f4e4604/
"""Esperanza Rising"" ""Pam Muñoz Ryan""",302.0,https://www.coursehero.com/search/results/1216638603/735ae0830c52b5b07a/
"""Number the Stars"" ""Lois Lowry""",479.0,https://www.coursehero.com/search/results/1216638758/2f9e9bdae9af0f6476/
"""Roll of Thunder, Hear My Cry"" ""Mildred D. Taylor""",312.0,https://www.coursehero.com/search/results/1216638898/2f5e11c06fac417318/
"""The Boy in the Striped Pajamas"" ""John Boyne""",729.0,https://www.coursehero.com/search/results/1216639012/27a1e546406deec194/
"""The Hunger Games"" ""Suzanne Collins""",4118.0,https://www.coursehero.com/search/results/1216639130/0cf9b5d57cd247d507/
"""An Unquiet Mind"" ""Kay Redfield Jamison""",343.0,https://www.coursehero.com/search/results/1216639251/681d7c4fdcd69ed8d1/
"""Dreams from My Father"" ""Barack Obama""",1098.0,https://www.coursehero.com/search/results/1216639356/47e76a1b5fb0e91ba3/
"""Falling Man"" ""Don DeLillo""",134.0,https://www.coursehero.com/search/results/1216639480/2e695d7f8326ad7d45/
"""The Wednesday Wars"" ""Gary D. Schmidt""",43.0,https://www.coursehero.com/search/results/1216639629/e473e77c1899fd8ebf/
"""Bad Boy"" ""Walter Dean Myers""",109.0,https://www.coursehero.com/search/results/1216639769/c3169d010126692ac1/
"""The Worst Hard Time"" ""Timothy Egan""",126.0,https://www.coursehero.com/search/results/1216639924/0e9d682dcb3fd828f1/
"""If I Die in a Combat Zone"" ""Tim O'Brien""",355.0,https://www.coursehero.com/search/results/1216640053/6afc55d2df89ef0e96/
"""The Return of Martin Guerre"" ""Natalie Zemon Davis""",207.0,https://www.coursehero.com/search/results/1216640194/30c886c63aa15be87b/
"""Inside Out And Back Again"" ""Thanhha Lai""",138.0,https://www.coursehero.com/search/results/1216640323/4e105f4be41e1aad11/
"""The Overstory"" ""Richard Powers""",,https://www.coursehero.com/search/results/?stx=%22The%20Overstory%22%20%22Richard%20Powers%22&filters_product=all&searchTrigger=homepage
"""This Changes Everything"" ""Naomi Klein""",1256.0,https://www.coursehero.com/search/results/1216640752/05363796c423029455/
"""The Sixth Extinction"" ""Elizabeth Kolbert""",716.0,https://www.coursehero.com/search/results/1216640891/160bb689db41edac74/
"""Sag Harbor"" ""Colson Whitehead""",39.0,https://www.coursehero.com/search/results/1216641021/a17e654ee2851714db/
"""The Water Dancer"" ""Ta-Nehisi Coates""",66.0,https://www.coursehero.com/search/results/1216641140/6f3be2b5e8e6803f3c/
"""The Gay Science"" ""Friedrich Nietzsche""",1427.0,https://www.coursehero.com/search/results/1216641524/533d24b14df856d043/
"""Dear Martin"" ""Nic Stone""",243.0,https://www.coursehero.com/search/results/1216641644/60a6ebbf81a32e440c/
